Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 6094.5, 20365, 0, 5.5, 569.3, 
1, -313.1, 6161.8, 19939.6, 468.4, 1.67, 784.3, 
2, -363.7, 6051.2, 19821.3, 435.8, 1.48, 962.5, 
3, -332.6, 5966.4, 20255.5, 410.2, 1.46, 1002.9, 
4, -328.4, 5904.4, 20593.2, 423.8, 1.49, 1057.2, 
5, -339.5, 5860.8, 20920.8, 452.6, 1.54, 1083.8, 
6, -337.6, 5835, 20582.6, 463.1, 1.56, 1244.8, 
7, -316, 5837.6, 20963.7, 446.4, 1.68, 1243.4, 
8, -290.2, 5840.6, 20904.5, 463.7, 1.75, 1304.4, 
9, -342.5, 5868.8, 21302.9, 508.8, 1.87, 1311, 
10, -279.4, 5898.3, 20828.4, 454.4, 1.97, 1367.4, 
11, -260.2, 5937.5, 20587, 466.2, 2.07, 1441.6, 
12, -257.6, 5984.8, 20469.4, 464.9, 2.22, 1474.9, 
13, -249.9, 6036.5, 20734.7, 480.9, 2.35, 1466.9, 
14, -272.8, 6088.5, 21069, 486.4, 2.46, 1434.9, 
15, -233.1, 6135.2, 20682.2, 482.3, 2.6, 1479.3, 
16, -217.7, 6190.7, 19968, 466.2, 2.75, 1598.1, 
17, -204, 6256, 19922.9, 467, 2.89, 1612.5, 
18, -200.6, 6312.7, 20221.4, 446.9, 3.07, 1558.3, 
19, -230.4, 6369.2, 20384.4, 503.1, 3.22, 1561, 
20, -159.6, 6410.4, 20057.9, 450.1, 3.44, 1588.8, 
21, -196.8, 6459.8, 20074, 464.5, 3.58, 1582.6, 
22, -194.9, 6511.7, 20317.1, 443.3, 3.75, 1544, 
23, -220.6, 6561.1, 20745.7, 506.9, 3.88, 1492.4, 
24, -251.4, 6595.5, 20869.3, 541.7, 4.09, 1499.9, 
25, -239.3, 6640.4, 20896.1, 502.3, 4.25, 1502, 
26, -251.5, 6687.4, 21244.5, 484.2, 4.35, 1477, 
27, -215.4, 6727.4, 21154.9, 505.7, 4.52, 1533.6, 
28, -231.5, 6775.1, 21528.5, 512, 4.67, 1501.2, 
29, -234.9, 6811.6, 21919, 540.9, 4.83, 1474.5, 
30, -192.9, 6851.5, 21347, 475.6, 5.06, 1594.3, 
31, -204.6, 6897.5, 21556.3, 501.2, 5.22, 1591.7, 
32, -233.9, 6943.1, 21919.3, 505.7, 5.33, 1559, 
33, -252.5, 6985.7, 22324.6, 562.2, 5.4, 1537.3, 
34, -308.6, 7025, 22795.6, 591.9, 5.49, 1519, 
35, -271.3, 7068.2, 22770.9, 548.3, 5.54, 1567.1, 
36, -291, 7112.8, 23120.9, 587.3, 5.64, 1579.6, 
37, -214.1, 7158.1, 22828.7, 529, 5.7, 1695, 
38, -224.3, 7207.5, 23093.4, 508.9, 5.86, 1684, 
39, -203.2, 7248.9, 23482.9, 539.8, 5.92, 1640.2, 
40, -234, 7287.9, 23676.2, 565.5, 6.04, 1624.1, 
41, -266.6, 7326.8, 23781.9, 590.9, 6.04, 1679.6, 
42, -268.5, 7366.7, 24177.5, 557.9, 6.13, 1653.2, 
43, -259.1, 7413.3, 24269.6, 570.2, 6.2, 1711, 
44, -222.9, 7457, 24360.1, 531.5, 6.26, 1744.6, 
45, -241.6, 7503.1, 24541.3, 564.9, 6.31, 1739, 
46, -243.8, 7543.7, 24922.9, 574.4, 6.35, 1712.4, 
47, -247.2, 7586.7, 25255.1, 582.5, 6.24, 1704.8, 
48, -256.6, 7629.8, 25402, 550.6, 6.29, 1729.1, 
49, -263.1, 7668, 25712.5, 597.6, 6.33, 1732.2, 
50, -272.1, 7707.5, 25914.8, 609.3, 6.35, 1745.2, 
51, -259.9, 7744.4, 25957.4, 582, 6.33, 1801.2, 
52, -273.4, 7776.4, 26454.1, 683.4, 6.28, 1771.9, 
53, -313.1, 7810.6, 26856.8, 644.7, 6.25, 1774.7, 
54, -295.8, 7853.8, 27211.1, 616.7, 6.17, 1778.3, 
55, -246.5, 7906.1, 27057.8, 571.1, 6.16, 1843.9, 
56, -334.5, 7951.9, 27532, 684.4, 6.06, 1840.5, 
57, -289.8, 7992.4, 27974.7, 677, 6.01, 1821.6, 
58, -283.6, 8034.5, 28319.1, 642.4, 5.94, 1827.4, 
59, -301.6, 8076.1, 28692.4, 631.7, 5.95, 1828.2, 
60, -284, 8120.3, 28910.8, 663.9, 5.88, 1838.7, 
61, -213.7, 8154, 29023.5, 611.3, 5.78, 1870.4, 
62, -309.5, 8192.3, 29409.5, 683.9, 5.78, 1889.2, 
63, -279.6, 8228.6, 29743.4, 675.6, 5.81, 1899.3, 
64, -258.2, 8269.3, 29805.8, 669.5, 5.75, 1942.7, 
65, -237.7, 8324.5, 29431.2, 630.1, 5.69, 2061, 
66, -223.9, 8379, 29664.8, 620, 5.75, 2049.3, 
67, -257.7, 8424.9, 30080.2, 649, 5.69, 2016.7, 
68, -237.1, 8467.3, 30342, 627, 5.78, 2008.7, 
69, -272.7, 8514.2, 30610.4, 617.4, 5.76, 2014.7, 
70, -260.9, 8557.5, 30737.8, 665.6, 5.69, 2019.5, 
71, -202.6, 8597.1, 31066, 613.6, 5.63, 1989.2, 
72, -256.8, 8627.9, 31425.8, 679.6, 5.73, 1984.4, 
73, -275.7, 8659, 31754.5, 666.3, 5.65, 1992.7, 
74, -272.1, 8688.8, 32087.9, 645.5, 5.7, 2001.4, 
75, -230.2, 8736, 31790.3, 622.3, 5.72, 2102.7, 
76, -244.6, 8783.2, 32138.4, 637.1, 5.63, 2086, 
77, -252.9, 8816.4, 32529.7, 712.1, 5.61, 2082.7, 
78, -201.1, 8828.2, 32931.4, 703.9, 5.72, 2044.1, 
79, -282.4, 8847.1, 33303.1, 697.1, 5.7, 2045.6, 
80, -230.3, 8892.3, 32969.9, 650.8, 5.78, 2149.4, 
81, -241, 8938.2, 33147.3, 660.3, 5.8, 2176.5, 
82, -231.3, 8981, 33329.4, 655.5, 5.83, 2193.4, 
83, -214.2, 9024.6, 33426, 646.9, 5.87, 2228.8, 
84, -203.5, 9065, 33584.5, 640.6, 5.92, 2240.2, 
85, -164.6, 9110.9, 33239.5, 622.6, 5.99, 2308.4, 
86, -171.4, 9158.2, 33257.1, 627.3, 6.05, 2335.9, 
87, -176.5, 9194.9, 33563.5, 626.9, 6.12, 2284.8, 
88, -177.4, 9225, 33844.1, 625.6, 6.2, 2247.6, 
89, -167.7, 9254.2, 33952.4, 620.4, 6.29, 2259.9, 
90, -132.7, 9289.7, 33702.9, 603.5, 6.41, 2296.7, 
91, -145.3, 9318.5, 33761.1, 609.5, 6.52, 2305.2, 
92, -153.9, 9338.6, 34086.9, 610.2, 6.63, 2244.3, 
93, -134.3, 9354, 34073.4, 598.4, 6.77, 2274.7, 
94, -114.8, 9377.4, 33939.8, 588.6, 6.94, 2327.5, 
95, -100.9, 9400.1, 33784.4, 580.3, 7.12, 2310.5, 
96, -130.4, 9412.6, 34059.8, 593.3, 7.27, 2254.1, 
97, -108, 9424, 34011.7, 579.7, 7.46, 2280.9, 
98, -106.4, 9433.1, 34111.7, 576, 7.67, 2264.2, 
99, -112.1, 9434.8, 34345.1, 574.9, 7.87, 2215.2, 
100, -72.8, 9447.2, 33854.4, 556.5, 8.1, 2281.2, 
