SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
1, 12, 1254, 0, 12, 25, 0, 58794, 5001726, 0, 1266, 0, 0, 
2, 6, 1036, 0, 5, 25, 0, 37915, 4970405, 0, 984, 58, 0, 
3, 282, 1947, 0, 5, 25, 0, 1560247, 14647068, 0, 2123, 106, 0, 
4, 13, 16, 0, 13, 16, 0, 46691, 41072, 0, 28, 1, 0, 
5, 1995, 278, 0, 10, 23, 0, 14332387, 1162113, 0, 2244, 29, 0, 
6, 12, 285, 0, 12, 22, 0, 87757, 1125490, 0, 296, 1, 0, 
7, 2008, 4494, 0, 10, 27, 0, 1128407, 24149881, 0, 6448, 53, 1, 
8, 386, 3446, 0, 11, 26, 0, 2602643, 17202134, 0, 3729, 100, 3, 
9, 5098, 5775, 0, 11, 21, 0, 34873015, 23316677, 0, 10430, 438, 5, 
10, 4491, 6380, 0, 7, 22, 0, 29943688, 36322735, 0, 10561, 300, 10, 
11, 6, 585, 0, 6, 23, 0, 23977, 4013486, 0, 525, 60, 6, 
12, 432, 27, 0, 14, 20, 0, 3818181, 161061, 0, 444, 15, 0, 
13, 1642, 7491, 0, 5, 23, 0, 3019683, 56343913, 0, 7927, 1038, 168, 
14, 3859, 1517, 0, 11, 25, 0, 33061200, 12157676, 0, 3766, 1117, 493, 
15, 331, 47, 0, 12, 17, 0, 2208753, 280418, 0, 290, 72, 16, 
16, 5710, 2544, 0, 16, 18, 0, 19907474, 26749083, 0, 6940, 743, 571, 
17, 1411, 3559, 0, 12, 23, 0, 8100602, 74294148, 0, 2481, 1073, 1416, 
18, 16, 3396, 0, 11, 14, 0, 69580, 26300785, 0, 2046, 687, 679, 
19, 3760, 284, 0, 6, 22, 0, 12964009, 4180307, 0, 3613, 228, 203, 
20, 6, 258, 0, 6, 16, 0, 74536, 1348073, 0, 137, 116, 11, 
21, 1512, 3916, 0, 5, 21, 0, 25355426, 70603685, 0, 1808, 1360, 2260, 
22, 1220, 20, 0, 6, 20, 0, 9214354, 216944, 0, 942, 270, 28, 
23, 427, 1991, 0, 9, 26, 0, 8009745, 45841536, 0, 426, 1039, 953, 
24, 12061, 11942, 0, 13, 26, 0, 234434347, 259325568, 0, 6252, 5423, 12328, 
25, 2403, 8791, 0, 12, 27, 0, 9423868, 156105785, 0, 2904, 1918, 6372, 
26, 314, 5123, 0, 9, 27, 0, 11003784, 117464012, 0, 1479, 1139, 2819, 
27, 460, 1778, 0, 10, 26, 0, 1197192, 18301705, 0, 857, 361, 1020, 
28, 1405, 5751, 0, 10, 24, 0, 1768028, 127235650, 0, 2099, 889, 4168, 
29, 8, 3239, 0, 5, 24, 0, 104301, 63145739, 0, 75, 290, 2882, 
30, 7909, 25606, 0, 9, 26, 0, 150691523, 562798385, 0, 6355, 7006, 20154, 
31, 5878, 10420, 0, 8, 20, 0, 55846008, 153433884, 0, 5684, 3754, 6860, 
32, 699, 2049, 0, 10, 22, 0, 2933294, 37929537, 0, 953, 689, 1106, 
33, 535, 3479, 0, 13, 17, 0, 4689304, 60014432, 0, 1409, 1241, 1364, 
34, 3251, 56254, 0, 7, 24, 0, 35343161, 960598309, 0, 11868, 7181, 40456, 
35, 3209, 2597, 0, 10, 28, 0, 20893495, 49268403, 0, 2350, 1395, 2061, 
36, 8789, 9303, 0, 16, 36, 0, 152080332, 142101155, 0, 6224, 3362, 8506, 
37, 5867, 16722, 0, 15, 30, 0, 104327485, 220792059, 0, 8083, 3147, 11359, 
38, 4623, 842, 0, 6, 16, 0, 118713508, 7819591, 0, 1394, 1374, 2697, 
39, 13801, 8441, 0, 5, 22, 0, 369360950, 142877372, 0, 4095, 2740, 15407, 
40, 2363, 9397, 0, 13, 33, 0, 39797616, 118100298, 0, 3630, 2003, 6127, 
